"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"223",4,95,1,777.7,246.4,130.9,NA,NA
"224",4,95,2,800.5,278.6,142.8,82.4,NA
"225",4,95,3,738.6,201.6,133.9,NA,NA
"226",4,96,1,592.2,105.3,85.8,NA,NA
"227",4,96,2,511.6,70,68.5,153.5,NA
"228",4,96,3,724.6,158.8,106.1,NA,147.6
"229",5,78,1,548.6,95.1,71.3,NA,NA
"230",5,78,2,488.3,74.1,58.2,132.2,NA
"231",5,78,3,647.3,126.8,88.1,NA,135.4
"232",5,79,1,516.6,105.2,69.7,NA,NA
"233",5,79,2,465,79.1,56.8,122.3,NA
"234",5,79,3,594.7,139.4,86.8,NA,115.3
"235",5,80,1,556,91.1,72.8,NA,NA
"236",5,80,2,491.3,71.9,60.6,131.2,NA
"237",5,80,3,659.4,120,87.7,NA,136.4
"238",5,81,1,515.5,103.2,74.3,NA,NA
"239",5,81,2,471,79.5,64.4,128.1,NA
"240",5,81,3,585.9,137,83.8,NA,93.7
"241",5,82,1,627.1,128.7,66.9,NA,NA
"242",5,82,2,530.9,97.4,55.4,129.8,NA
"243",5,82,3,746,166.5,80.3,NA,168.8
"244",5,83,1,563.5,90.4,69.1,NA,NA
"245",5,83,2,510.4,68.1,54.4,149.5,NA
"246",5,83,3,666.8,126.6,89.5,NA,136.6
"247",5,84,1,532.6,84.2,67.8,NA,NA
"248",5,84,2,456.3,57.1,57.4,126.2,NA
"249",5,84,3,646,120.4,80.7,NA,147.2
"250",5,85,1,622.7,127.6,69.5,NA,NA
"251",5,85,2,549.2,78,56.9,153.7,NA
"252",5,85,3,724.9,190.3,84.2,NA,113.2
"253",5,86,1,543.7,99.7,71,NA,NA
"254",5,86,2,467.2,75.9,58.9,116.4,NA
"255",5,86,3,666.2,135.6,88.1,NA,148
"256",5,87,1,544.1,93.2,73.8,NA,NA
"257",5,87,2,469.8,74.3,59.8,127.7,NA
"258",5,87,3,656.8,121.5,90.1,NA,149.3
"259",5,88,1,575,114.3,74,NA,NA
"260",5,88,2,515.2,95,62,133,NA
"261",5,88,3,669.1,141.5,89.4,NA,142.3
"262",5,89,1,552.6,91.4,72.9,NA,NA
"263",5,89,2,504.7,79.3,58.4,130.2,NA
"264",5,89,3,629.4,109.9,91.1,NA,131.4
"265",5,90,1,529.5,86.1,66.8,NA,NA
"266",5,90,2,485.6,68.1,55.2,131.7,NA
"267",5,90,3,613.5,114.9,83.6,NA,120.9
