"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"252",2,63,3,502.2,80.4,88.3,NA,88.6
"253",2,67,1,498.7,64.4,64.1,NA,NA
"254",2,67,2,443.9,52.7,53.4,126.5,NA
"255",2,67,3,578.1,80.2,77.1,NA,167.7
"256",2,68,1,498.7,64.4,64.1,NA,NA
"257",2,68,2,443.9,52.7,53.4,126.5,NA
"258",2,68,3,578.1,80.2,77.1,NA,167.7
"259",2,69,1,542.7,63.7,72.3,NA,NA
"260",2,69,2,495.7,49.6,73,133.7,NA
"261",2,69,3,610.3,81.3,70.8,NA,178.8
"262",2,70,1,444.5,47.7,54.9,NA,NA
"263",2,70,2,394.8,38,47,113.8,NA
"264",2,70,3,514.9,60.4,64.7,NA,168.1
"265",2,71,1,509.1,55.2,64,NA,NA
"266",2,71,2,467.1,40.8,61.3,148.9,NA
"267",2,71,3,570.4,72.5,68.5,NA,176.6
"268",2,72,1,505.8,71.5,75.8,NA,NA
"269",2,72,2,468,64.2,63.9,121.8,NA
"270",2,72,3,561,82.7,87.4,NA,143.5
"271",2,73,1,556.5,88.4,75.8,NA,NA
"272",2,73,2,478.6,72.3,56.8,123.3,NA
"273",2,73,3,667.8,109.9,102.4,NA,172
"274",2,98,1,544.6,79.6,83.3,NA,NA
"275",2,98,2,494.8,72.1,73.1,134.2,NA
"276",2,98,3,617.7,91.9,98.3,NA,159.2
"277",2,102,1,532.6,77.9,65.9,NA,NA
"278",2,102,2,473.9,70.8,54.3,128.9,NA
"279",2,102,3,612.3,87.9,79.2,NA,178.3
"280",2,103,1,516.2,83.3,66.6,NA,NA
"281",2,103,2,460.2,69.1,56.4,128.6,NA
"282",2,103,3,596.4,102,78.2,NA,149.6
"283",2,105,1,526.3,65.1,69,NA,NA
"284",2,105,2,460.1,52.1,58.8,131.1,NA
"285",2,105,3,616.2,82,80.6,NA,186.3
"286",2,108,1,566.2,86.7,82.3,NA,NA
"287",2,108,2,489,73.3,63.2,125.2,NA
"288",2,108,3,668.7,104.5,104.6,NA,170
"289",2,112,1,543.6,77.4,71.2,NA,NA
"290",2,112,2,467.9,61.4,54.9,129.2,NA
"291",2,112,3,648.1,98.9,91,NA,197.3
"292",2,113,1,605.9,120.1,89.6,NA,NA
"293",2,113,2,485.9,97.7,62.8,138.3,NA
"294",2,113,3,755.6,150.8,122.3,NA,151.5
"295",2,114,1,473.3,55.8,56,NA,NA
"296",2,114,2,436.8,43.3,48.5,130.1,NA
"297",2,114,3,530.9,72.7,65.7,NA,142.7
"298",2,116,1,487.2,58.7,60.6,NA,NA
"299",2,116,2,423.9,47.4,50.4,120.2,NA
"300",2,116,3,581.4,73.3,74.2,NA,180.8
"301",2,117,1,486.2,59,61.4,NA,NA
"302",2,117,2,433.1,48.1,53,121.1,NA
"303",2,117,3,567,72.9,71.9,NA,176.5
"304",2,118,1,504.8,61,63.4,NA,NA
"305",2,118,2,468.1,51.2,57.2,130,NA
"306",2,118,3,564,73.8,70.8,NA,179.1
"307",2,120,1,518.7,77.2,66.9,NA,NA
"308",2,120,2,440.4,62.9,53.8,122.3,NA
"309",2,120,3,634,96.9,83.7,NA,189.8
"310",2,122,1,463.4,50,58.7,NA,NA
"311",2,122,2,420.5,42.5,48.6,122.6,NA
"312",2,122,3,524.6,60.2,69.4,NA,161.5
"313",3,2,1,536.1,75,68.8,NA,NA
"314",3,2,2,485,72.8,53.9,127.7,NA
"315",3,2,3,613.6,79.7,88.3,NA,173.9
"316",3,5,1,504.9,64.5,62.1,NA,NA
"317",3,5,2,455.1,55.2,53.2,124.6,NA
"318",3,5,3,577.2,77.5,72,NA,174.3
"319",3,6,1,486.3,51.5,61.3,NA,NA
"320",3,6,2,439.3,42.3,51.9,125.2,NA
"321",3,6,3,554,64,71.9,NA,161.4
"322",3,9,1,401.1,39.2,45.8,NA,NA
"323",3,9,2,347.9,29,36.8,96.8,NA
"324",3,9,3,470.9,52.5,55.9,NA,163.8
"325",3,11,1,496.1,72.8,67.3,NA,NA
"326",3,11,2,436.8,61.6,55.1,128.7,NA
"327",3,11,3,580.6,89.2,83,NA,167.2
"328",3,12,1,529.3,71.2,71.2,NA,NA
"329",3,12,2,435,61.4,54.7,122.3,NA
"330",3,12,3,661.2,85.5,92,NA,198.6
"331",3,13,1,520.7,72,66.2,NA,NA
"332",3,13,2,466.9,62.1,55,127.7,NA
"333",3,13,3,602.2,86.1,79.5,NA,158.1
"334",3,14,1,485.4,65.8,63.1,NA,NA
"335",3,14,2,430.1,54.6,50.1,132.1,NA
"336",3,14,3,568.5,82.4,80.6,NA,165.6
"337",3,15,1,480.6,53.1,57.5,NA,NA
"338",3,15,2,433.6,42.1,48.3,124.1,NA
"339",3,15,3,551.9,68,69,NA,162.4
"340",3,17,1,516.3,84.5,61,NA,NA
"341",3,17,2,460.7,69,48.3,134.5,NA
"342",3,17,3,592.6,107.1,75.5,NA,157.3
"343",3,18,1,550.3,70.1,66,NA,NA
"344",3,18,2,496.1,60.9,54.8,135.4,NA
"345",3,18,3,631.3,84.6,79.2,NA,190.1
"346",3,20,1,528.2,93.1,74.8,NA,NA
"347",3,20,2,451.2,79.2,66.3,122.1,NA
"348",3,20,3,625.8,112.6,82.9,NA,194.7
"349",3,23,1,543.8,69.4,69.3,NA,NA
"350",3,23,2,505.4,58.7,54.9,145.4,NA
"351",3,23,3,599,83.3,83.1,NA,154.7
"352",3,24,1,534.8,78.3,68.8,NA,NA
"353",3,24,2,460.5,63.2,57.2,126.9,NA
"354",3,24,3,643.2,99.6,83.6,NA,189
"355",3,29,1,521.6,63.3,65.6,NA,NA
"356",3,29,2,430.8,53.2,53.3,119,NA
"357",3,29,3,626.9,75.5,77.5,NA,212.8
"358",3,30,1,516.7,67.8,64,NA,NA
"359",3,30,2,459.6,57.8,53.4,121.1,NA
"360",3,30,3,594.7,82.7,75.1,NA,187.5
"361",3,31,1,525.6,83,65.7,NA,NA
"362",3,31,2,466,73.7,60,121.7,NA
"363",3,31,3,602,95.7,71.6,NA,160.1
"364",3,32,1,516.7,55.1,65.6,NA,NA
"365",3,32,2,456.9,47.9,52.6,135.9,NA
"366",3,32,3,597.8,65.6,81.1,NA,185.9
"367",3,33,1,531.1,72.4,67.6,NA,NA
"368",3,33,2,471.5,62.8,54.5,130.7,NA
"369",3,33,3,617.5,86.2,83.8,NA,175
"370",3,34,1,496.3,86,67.2,NA,NA
"371",3,34,2,453.2,72.3,61.4,116.4,NA
"372",3,34,3,559.2,104.9,74.2,NA,121
"373",3,36,1,534.8,65.4,72.2,NA,NA
"374",3,36,2,472.7,52.4,56.4,119.6,NA
"375",3,36,3,617,79.8,91.9,NA,209.2
"376",3,39,1,493.6,74.1,63.8,NA,NA
"377",3,39,2,447.9,65,50.6,134.8,NA
"378",3,39,3,557.1,84.8,80.2,NA,126.6
"379",3,42,1,547.3,77.9,70.3,NA,NA
"380",3,42,2,459.3,57.9,61.3,131,NA
"381",3,42,3,670,105.5,82,NA,186.7
"382",3,43,1,512.5,77.2,70.4,NA,NA
"383",3,43,2,419.2,60.7,54.3,108.2,NA
"384",3,43,3,628.9,98.7,88.2,NA,172.8
"385",3,46,1,553.7,68,66.6,NA,NA
"386",3,46,2,472.9,56.4,55.3,133.4,NA
"387",3,46,3,664.8,85,80.9,NA,206.4
"388",3,47,1,522.3,57.2,65.4,NA,NA
"389",3,47,2,465.4,49.4,55.5,132.6,NA
"390",3,47,3,604.9,68.2,76.7,NA,193.2
"391",3,50,1,515.4,74.4,63.8,NA,NA
"392",3,50,2,451.3,62.2,51.4,127.1,NA
"393",3,50,3,606.1,91,79.4,NA,179.2
"394",3,51,1,543.9,85.5,81.7,NA,NA
"395",3,51,2,474.8,74.5,73.2,119.2,NA
"396",3,51,3,637.3,102.4,93.8,NA,170.4
"397",3,52,1,544.8,88,75.9,NA,NA
"398",3,52,2,476.1,76.6,60.5,122.4,NA
"399",3,52,3,638.9,105,95.1,NA,159.7
"400",3,54,1,533.5,77.8,69.1,NA,NA
"401",3,54,2,470.4,68.6,56.2,128.6,NA
"402",3,54,3,618.4,91,84.6,NA,172.9
"403",3,56,1,538.2,79.2,76.7,NA,NA
"404",3,56,2,469.7,65.1,61.7,124.3,NA
"405",3,56,3,635.4,99.5,93.6,NA,170.8
"406",3,63,1,462.3,73.5,74,NA,NA
"407",3,63,2,442.8,62.9,62.9,121.1,NA
"408",3,63,3,501,90.8,83.9,NA,76.8
"409",3,67,1,506.3,65.4,64.4,NA,NA
"410",3,67,2,448.9,54.5,53.6,125.1,NA
"411",3,67,3,587.8,80.4,77.3,NA,171.3
"412",3,68,1,506.3,65.4,64.4,NA,NA
"413",3,68,2,448.9,54.5,53.6,125.1,NA
"414",3,68,3,587.8,80.4,77.3,NA,171.3
"415",3,69,1,540.4,63.6,71.1,NA,NA
"416",3,69,2,483.3,49.9,66.8,133.1,NA
"417",3,69,3,623.3,81.3,76.2,NA,184.3
"418",3,70,1,457.8,48.4,56.3,NA,NA
"419",3,70,2,406,39.7,47.5,114.2,NA
"420",3,70,3,529.9,60,66.2,NA,177
"421",3,71,1,519.6,56.9,66.5,NA,NA
"422",3,71,2,463.4,40.5,59.6,139.6,NA
"423",3,71,3,599,76.4,76.6,NA,201.8
"424",3,72,1,513.9,77.4,68.6,NA,NA
"425",3,72,2,471.7,69.3,60.7,122.5,NA
"426",3,72,3,577.6,89.7,74.8,NA,155.7
"427",3,73,1,565.3,95.8,79,NA,NA
"428",3,73,2,489.7,86.2,58.5,109.9,NA
"429",3,73,3,671,108.5,107.1,NA,162.1
"430",3,98,1,538.9,82.1,85.4,NA,NA
"431",3,98,2,496,77.3,77.8,127.3,NA
"432",3,98,3,604.9,90.8,96.3,NA,142.6
"433",3,102,1,532,75.4,67.7,NA,NA
"434",3,102,2,468.7,65.9,55.7,129.8,NA
"435",3,102,3,616,88.6,81.8,NA,178.6
"436",3,103,1,509,80.2,67.6,NA,NA
"437",3,103,2,451.2,66.8,56.6,123.1,NA
"438",3,103,3,587.8,97.7,80.5,NA,141.4
"439",3,105,1,541.3,65.8,67.4,NA,NA
"440",3,105,2,469.7,54.4,56.3,132,NA
"441",3,105,3,636.2,80.8,80.3,NA,200.3
"442",3,108,1,547.6,85.6,77.6,NA,NA
"443",3,108,2,479.6,76,59.6,123.4,NA
"444",3,108,3,641.3,100.9,98.6,NA,150.4
"445",3,112,1,574.6,82.1,78,NA,NA
"446",3,112,2,483.7,66.4,61,125.6,NA
"447",3,112,3,699.9,103.8,98.1,NA,215.6
"448",3,113,1,578,101.4,90.7,NA,NA
"449",3,113,2,467.7,87.9,61.1,117,NA
"450",3,113,3,726.3,119.8,129.6,NA,162.8
"451",3,114,1,475.7,54.8,55.1,NA,NA
"452",3,114,2,432.9,42.5,47.3,123.7,NA
"453",3,114,3,540.7,71.3,65,NA,149.7
"454",3,116,1,490.3,58.2,62.8,NA,NA
"455",3,116,2,428.3,46.4,56.2,111.3,NA
"456",3,116,3,581.9,74.2,72.1,NA,179.3
"457",3,117,1,491.1,59.5,62,NA,NA
"458",3,117,2,432,47.2,54.7,114.8,NA
"459",3,117,3,578.5,75.8,71,NA,179.3
"460",3,118,1,509.3,63.3,61.5,NA,NA
"461",3,118,2,454.8,52.2,52.5,123.1,NA
"462",3,118,3,591.6,77.9,71.3,NA,183.6
"463",3,120,1,531.3,80.7,67.3,NA,NA
"464",3,120,2,468.9,65.9,56.6,127,NA
"465",3,120,3,626,101.3,81.5,NA,187.1
"466",3,122,1,470.1,49.6,60.4,NA,NA
"467",3,122,2,428.6,41.6,52.6,118.4,NA
"468",3,122,3,527,59.8,68.3,NA,155.9
"469",4,2,1,551.2,77.2,67.3,NA,NA
"470",4,2,2,508.8,77.2,57.5,131.1,NA
"471",4,2,3,611.2,76.9,79.2,NA,180.7
"472",4,5,1,509.8,65.5,62.2,NA,NA
"473",4,5,2,461.4,55.3,52.8,126.6,NA
"474",4,5,3,580.5,79.6,73.3,NA,172.5
"475",4,6,1,485.8,50.6,60.7,NA,NA
"476",4,6,2,440.9,41.1,50.3,126.3,NA
"477",4,6,3,552.1,63.8,72.6,NA,165.3
"478",4,9,1,401.2,41.4,46,NA,NA
"479",4,9,2,354.3,31,37.6,102.7,NA
"480",4,9,3,463.4,54.5,55.8,NA,163.6
"481",4,11,1,492.3,72,69.1,NA,NA
"482",4,11,2,433.9,63,55.3,124.6,NA
"483",4,11,3,574.2,85,85.7,NA,157.3
"484",4,12,1,535.8,77.2,75.9,NA,NA
"485",4,12,2,426.6,65.8,52.6,115.2,NA
"486",4,12,3,680.5,93.5,103.1,NA,201.9
"487",4,13,1,525,70.9,65.4,NA,NA
"488",4,13,2,461.5,58.8,54.1,128.1,NA
"489",4,13,3,616.7,87.1,79.4,NA,178.1
"490",4,14,1,480.8,65.8,64.2,NA,NA
"491",4,14,2,427.2,58,49.4,128.9,NA
"492",4,14,3,559.4,77.7,83,NA,151.2
"493",4,15,1,485.4,54.1,56.9,NA,NA
"494",4,15,2,436.4,42.5,47.5,124,NA
"495",4,15,3,559.1,69.9,68.6,NA,168.7
