"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"181",4,58,1,481.4,71.9,66.1,NA,NA
"182",4,58,2,425,51.5,63.8,123.1,NA
"183",4,58,3,550.2,92.8,65.4,NA,165.7
"184",4,59,1,508.3,94,62.6,NA,NA
"185",4,59,2,462.2,85,56.4,126.4,NA
"186",4,59,3,564.1,103,69.5,NA,156.4
"187",4,61,1,492.3,66.9,77.8,NA,NA
"188",4,61,2,433.3,59.6,74.8,116.3,NA
"189",4,61,3,557.4,74.8,79.9,NA,156.7
"190",4,66,1,487.8,72.4,59.2,NA,NA
"191",4,66,2,430.1,67.4,45.2,121.3,NA
"192",4,66,3,560,79.3,75.1,NA,141.6
"193",4,99,1,413.9,49,54.9,NA,NA
"194",4,99,2,364.7,44.2,45.7,111.9,NA
"195",4,99,3,483.5,55.9,67.1,NA,124.2
"196",4,104,1,500.2,59.5,57.9,NA,NA
"197",4,104,2,438.2,54,46.8,123.9,NA
"198",4,104,3,586.4,67.6,72.3,NA,176.3
"199",4,111,1,503,84.6,62.6,NA,NA
"200",4,111,2,449,82.6,47.9,119.4,NA
"201",4,111,3,567.5,88.1,77.1,NA,151.8
"202",4,115,1,431,56.2,55.5,NA,NA
"203",4,115,2,384.5,45.3,50.6,111.7,NA
"204",4,115,3,496.5,70.9,61.4,NA,132.3
"205",5,3,1,486.6,65.9,60.2,NA,NA
"206",5,3,2,426.5,59.4,49.9,120.9,NA
"207",5,3,3,564.5,74.8,72.2,NA,161
"208",5,8,1,515.2,74.2,64.5,NA,NA
"209",5,8,2,460.2,67.9,53.6,124,NA
"210",5,8,3,579.7,82.8,76.3,NA,155.3
"211",5,19,1,438.1,60.9,63.3,NA,NA
"212",5,19,2,381.9,43.8,51.1,111.6,NA
"213",5,19,3,507,82.1,78.8,NA,104.5
"214",5,26,1,520.8,71.2,64,NA,NA
"215",5,26,2,444.1,61.5,53.9,118.1,NA
"216",5,26,3,616.4,83.5,77,NA,176.2
"217",5,27,1,484.6,69.8,60.6,NA,NA
"218",5,27,2,424.4,65.2,50.4,123.7,NA
"219",5,27,3,567.1,76.1,73.6,NA,169.8
"220",5,28,1,482.7,62,59.4,NA,NA
"221",5,28,2,416.7,55.6,49.1,117.7,NA
"222",5,28,3,568,71.1,71.6,NA,179.9
"223",5,40,1,502,65.2,62.3,NA,NA
"224",5,40,2,446.7,61.3,49.7,114.3,NA
"225",5,40,3,577,71.4,77.2,NA,156.6
"226",5,53,1,481.5,51.8,58.2,NA,NA
"227",5,53,2,420.7,49.6,46.3,130.7,NA
"228",5,53,3,559,56.2,70.5,NA,166.8
"229",5,55,1,561.8,78.2,60,NA,NA
"230",5,55,2,469.1,79.5,50.7,125.9,NA
"231",5,55,3,675.3,82.3,71,NA,225.5
"232",5,58,1,506,72.9,73.4,NA,NA
"233",5,58,2,456.2,58.3,68.2,134.1,NA
"234",5,58,3,563.6,86,75.4,NA,162.9
"235",5,59,1,520.4,97.9,66.8,NA,NA
"236",5,59,2,464.2,89,53,123.7,NA
"237",5,59,3,588.6,109.5,80.8,NA,151
"238",5,61,1,520.5,85.1,74.5,NA,NA
"239",5,61,2,446.7,72.7,70.2,109.2,NA
