"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"180",10,121,3,580.5,77.1,83.9,NA,124.2
"181",11,37,1,530.8,67.1,75.7,NA,NA
"182",11,37,2,490,66.1,57.8,127.2,NA
"183",11,37,3,582,69.4,93,NA,126.4
"184",11,45,1,519.8,70.2,68.5,NA,NA
"185",11,45,2,490.3,66.6,55.2,130.9,NA
"186",11,45,3,566.1,75.8,84.1,NA,116.7
"187",11,60,1,545.5,77.9,89.6,NA,NA
"188",11,60,2,492.4,60,67.3,103.4,NA
"189",11,60,3,607.3,100.8,114.1,NA,94.6
"190",11,74,1,514.8,74.2,72.6,NA,NA
"191",11,74,2,482.8,72.4,61.9,118.5,NA
"192",11,74,3,557.3,77.6,84.5,NA,104
"193",11,107,1,506.8,59.2,66.7,NA,NA
"194",11,107,2,452.4,51.1,50.8,128.2,NA
"195",11,107,3,571.9,68.3,84.3,NA,124.6
"196",11,121,1,520.3,71.8,65.2,NA,NA
"197",11,121,2,498.9,68.5,53.2,135.9,NA
"198",11,121,3,562.7,77.6,80.4,NA,116.8
"199",12,37,1,530.2,73.4,68.8,NA,NA
"200",12,37,2,484.1,72.3,51.2,122.4,NA
"201",12,37,3,584.5,76.3,86,NA,129.3
"202",12,45,1,511,71.1,64,NA,NA
"203",12,45,2,483.6,67.3,51.1,124.2,NA
"204",12,45,3,554.2,77.1,79.1,NA,114.1
"205",12,60,1,539,72.4,80.4,NA,NA
"206",12,60,2,470.4,58.9,57.4,95.6,NA
"207",12,60,3,621.5,87.1,104.3,NA,107
"208",12,74,1,511.8,73.1,69.4,NA,NA
"209",12,74,2,482.3,70.1,56,116,NA
"210",12,74,3,551.2,78.3,84.3,NA,101
"211",12,107,1,495.7,64.7,66.5,NA,NA
"212",12,107,2,439.9,55.7,52.6,114.9,NA
"213",12,107,3,562,74.7,81.4,NA,118.8
"214",12,121,1,508.9,71.1,60.1,NA,NA
"215",12,121,2,493.2,68.1,49.2,130.1,NA
"216",12,121,3,544.1,76.5,74,NA,113.6
"217",13,37,1,517.9,67.9,64.1,NA,NA
"218",13,37,2,477.7,70.6,54.8,117.7,NA
"219",13,37,3,567.9,66.3,74.5,NA,133
"220",13,45,1,506,70,63.8,NA,NA
